RAW_SIMULATION_TIME: 67.358666
Cycle; Dim; Run; Duration
cycle_1; dim_2; EX_prep; 1.075757
cycle_1; dim_2; Post_proc; 0.0285
cycle_1; dim_2; EX_run; 5.340063
cycle_1; dim_2; MD_prep; 1.249174
cycle_1; dim_2; MD_run; 5.719913
cycle_1; dim_1; EX_prep; 1.012002
cycle_1; dim_1; Post_proc; 0.024489
cycle_1; dim_1; EX_run; 1.439728
cycle_1; dim_1; MD_prep; 1.612201
cycle_1; dim_1; MD_run; 12.840035
cycle_2; dim_2; EX_prep; 1.032339
cycle_2; dim_2; Post_proc; 0.041116
cycle_2; dim_2; EX_run; 5.111573
cycle_2; dim_2; MD_prep; 1.267732
cycle_2; dim_2; MD_run; 6.048034
cycle_2; dim_1; EX_prep; 0.949387
cycle_2; dim_1; Post_proc; 0.026462
cycle_2; dim_1; EX_run; 1.69704
cycle_2; dim_1; MD_prep; 1.271218
cycle_2; dim_1; MD_run; 5.583358
cycle_3; dim_2; MD_prep; 1.223712
cycle_3; dim_2; MD_run; 5.522093
cycle_3; dim_1; MD_prep; 1.171935
cycle_3; dim_1; MD_run; 5.937641
CU_ID; New; exestart; exeEnd; Done; Cycle; Dim; Run
5525dad623769c161030cd82; 17.162995; 18.822995; 21.785995; 21.877995; cycle_1; dim_2; run_MD
5525dad623769c161030cd83; 17.505995; 20.234995; 23.212995; 23.636995; cycle_1; dim_2; run_MD
5525dad723769c161030cd85; 18.131995; 20.458995; 23.484995; 23.860995; cycle_1; dim_2; run_MD
5525dad623769c161030cd84; 17.805995; 20.348995; 23.348995; 23.746995; cycle_1; dim_2; run_MD
5525dadd23769c161030cd88; 24.676995; 25.832995; 30.054995; 30.056995; cycle_1; dim_2; run_EX
5525dadd23769c161030cd89; 24.929995; 25.953995; 30.056995; 30.056995; cycle_1; dim_2; run_EX
5525dadd23769c161030cd86; 24.138995; 25.603995; 30.051995; 30.056995; cycle_1; dim_2; run_EX
5525dadd23769c161030cd87; 24.402995; 25.720995; 30.053995; 30.056995; cycle_1; dim_2; run_EX
5525dac523769c161030cd7a; 0.180995; 8.176995; 12.894995; 13.048995; cycle_1; dim_1; run_MD
5525dac623769c161030cd7d; 1.504995; 10.821995; 14.024995; 14.383995; cycle_1; dim_1; run_MD
5525dac523769c161030cd7b; 0.442995; 10.497995; 13.664995; 14.159995; cycle_1; dim_1; run_MD
5525dac623769c161030cd7c; 1.058995; 10.703995; 13.844995; 14.271995; cycle_1; dim_1; run_MD
5525dad423769c161030cd80; 15.104995; 16.038995; 16.656995; 16.659995; cycle_1; dim_1; run_EX
5525dad423769c161030cd81; 15.378995; 16.159995; 16.659995; 16.659995; cycle_1; dim_1; run_EX
5525dad323769c161030cd7f; 14.846995; 15.823995; 16.654995; 16.659995; cycle_1; dim_1; run_EX
5525dad323769c161030cd7e; 14.611995; 15.720995; 16.652995; 16.659995; cycle_1; dim_1; run_EX
5525daee23769c161030cd95; 41.126995; 43.771995; 46.805995; 47.135995; cycle_2; dim_2; run_MD
5525daed23769c161030cd92; 40.188995; 42.012995; 45.001995; 45.123995; cycle_2; dim_2; run_MD
5525daed23769c161030cd93; 40.475995; 43.530995; 46.531995; 46.919995; cycle_2; dim_2; run_MD
5525daed23769c161030cd94; 40.853995; 43.660995; 46.668995; 47.025995; cycle_2; dim_2; run_MD
5525daf523769c161030cd99; 48.255995; 49.117995; 53.197995; 53.197995; cycle_2; dim_2; run_EX
5525daf423769c161030cd97; 47.732995; 48.881995; 53.010995; 53.010995; cycle_2; dim_2; run_EX
5525daf423769c161030cd96; 47.459995; 48.760995; 52.716995; 52.716995; cycle_2; dim_2; run_EX
5525daf423769c161030cd98; 47.978995; 48.997995; 53.103995; 53.103995; cycle_2; dim_2; run_EX
5525dae423769c161030cd8c; 31.219995; 33.736995; 37.008995; 37.166995; cycle_2; dim_1; run_MD
5525dae323769c161030cd8a; 30.596995; 33.412995; 36.374995; 36.480995; cycle_2; dim_1; run_MD
5525dae323769c161030cd8b; 30.916995; 33.525995; 36.601995; 36.825995; cycle_2; dim_1; run_MD
5525dae423769c161030cd8d; 31.562995; 33.843995; 36.737995; 36.940995; cycle_2; dim_1; run_MD
5525daea23769c161030cd8f; 37.664995; 38.719995; 39.123995; 39.123995; cycle_2; dim_1; run_EX
5525daea23769c161030cd90; 37.911995; 39.030995; 39.450995; 39.450995; cycle_2; dim_1; run_EX
5525daeb23769c161030cd91; 38.135995; 39.232995; 39.642995; 39.642995; cycle_2; dim_1; run_EX
5525daea23769c161030cd8e; 37.417995; 39.356995; 39.735995; 39.735995; cycle_2; dim_1; run_EX
5525db0123769c161030cd9e; 60.778995; 62.047995; 65.148995; 65.341995; cycle_3; dim_2; run_MD
5525db0223769c161030cd9f; 61.078995; 63.387995; 66.379995; 66.828995; cycle_3; dim_2; run_MD
5525db0223769c161030cda0; 61.368995; 63.503995; 66.516995; 66.960995; cycle_3; dim_2; run_MD
5525db0223769c161030cda1; 61.729995; 63.617995; 66.653995; 67.085995; cycle_3; dim_2; run_MD
5525dafb23769c161030cd9d; 54.568995; 57.050995; 59.995995; 60.511995; cycle_3; dim_1; run_MD
5525dafb23769c161030cd9c; 54.278995; 56.839995; 59.858995; 60.399995; cycle_3; dim_1; run_MD
5525dafa23769c161030cd9a; 53.669995; 56.614995; 59.584995; 60.176995; cycle_3; dim_1; run_MD
5525dafa23769c161030cd9b; 53.944995; 56.725995; 59.721995; 60.285995; cycle_3; dim_1; run_MD
