# 2d example: 16/36

RAW_SIMULATION_TIME: 1147.902697
Cycle; Dim; Run; Duration
cycle_4; dim_2; MD_prep; 14.869969
cycle_4; dim_2; MD_run; 19.642861
cycle_4; dim_1; MD_prep; 15.078614
cycle_4; dim_1; MD_run; 20.973272
cycle_1; dim_2; EX_prep; 10.160412
cycle_1; dim_2; Post_proc; 0.548865
cycle_1; dim_2; EX_run; 263.580409
cycle_1; dim_2; MD_prep; 11.934088
cycle_1; dim_2; MD_run; 16.593939
cycle_1; dim_1; EX_prep; 9.597062
cycle_1; dim_1; Post_proc; 0.85412
cycle_1; dim_1; EX_run; 2.176592
cycle_1; dim_1; MD_prep; 12.353204
cycle_1; dim_1; MD_run; 37.816565
cycle_2; dim_2; EX_prep; 10.705966
cycle_2; dim_2; Post_proc; 0.549671
cycle_2; dim_2; EX_run; 264.471512
cycle_2; dim_2; MD_prep; 12.698197
cycle_2; dim_2; MD_run; 16.969931
cycle_2; dim_1; EX_prep; 10.179875
cycle_2; dim_1; Post_proc; 1.030309
cycle_2; dim_1; EX_run; 2.466099
cycle_2; dim_1; MD_prep; 13.882858
cycle_2; dim_1; MD_run; 15.087094
cycle_3; dim_2; EX_prep; 12.291014
cycle_3; dim_2; Post_proc; 0.854182
cycle_3; dim_2; EX_run; 262.488455
cycle_3; dim_2; MD_prep; 13.50544
cycle_3; dim_2; MD_run; 18.850517
cycle_3; dim_1; EX_prep; 11.147446
cycle_3; dim_1; Post_proc; 1.255378
cycle_3; dim_1; EX_run; 3.642775
cycle_3; dim_1; MD_prep; 15.103262
cycle_3; dim_1; MD_run; 23.999999
CU_ID; New; exestart; exeEnd; Done; Cycle; Dim; Run
5525e1eb23769c196acc4f87; 1121.760854; 1136.515854; 1139.517854; 1139.922854; cycle_4; dim_2; run_MD
5525e1eb23769c196acc4f86; 1121.389854; 1136.020854; 1139.379854; 1139.785854; cycle_4; dim_2; run_MD
5525e1f123769c196acc4f94; 1127.488854; 1141.957854; 1144.905854; 1145.160854; cycle_4; dim_2; run_MD
5525e1f123769c196acc4f95; 1127.809854; 1142.411854; 1145.433854; 1145.972854; cycle_4; dim_2; run_MD
5525e1f023769c196acc4f92; 1126.646854; 1139.906854; 1142.833854; 1143.168854; cycle_4; dim_2; run_MD
5525e1f123769c196acc4f93; 1127.053854; 1141.298854; 1144.337854; 1144.619854; cycle_4; dim_2; run_MD
5525e1e723769c196acc4f7c; 1117.088854; 1126.708854; 1129.751854; 1129.959854; cycle_4; dim_2; run_MD
5525e1ee23769c196acc4f8e; 1124.848854; 1138.279854; 1141.586854; 1142.076854; cycle_4; dim_2; run_MD
5525e1e723769c196acc4f7d; 1117.710854; 1128.221854; 1131.145854; 1131.418854; cycle_4; dim_2; run_MD
5525e1e423769c196acc4f76; 1114.646854; 1119.590854; 1122.531854; 1122.749854; cycle_4; dim_2; run_MD
5525e1e423769c196acc4f75; 1114.278854; 1117.966854; 1120.945854; 1121.173854; cycle_4; dim_2; run_MD
5525e1e623769c196acc4f7a; 1116.341854; 1123.668854; 1127.029854; 1127.260854; cycle_4; dim_2; run_MD
5525e1e623769c196acc4f7b; 1116.706854; 1124.975854; 1127.952854; 1128.164854; cycle_4; dim_2; run_MD
5525e1ec23769c196acc4f88; 1122.361854; 1136.971854; 1140.189854; 1141.007854; cycle_4; dim_2; run_MD
5525e1ec23769c196acc4f89; 1122.724854; 1137.137854; 1140.329854; 1141.130854; cycle_4; dim_2; run_MD
5525e1e523769c196acc4f77; 1115.009854; 1120.224854; 1123.196854; 1123.501854; cycle_4; dim_2; run_MD
5525e1e823769c196acc4f80; 1118.832854; 1131.407854; 1134.324854; 1134.591854; cycle_4; dim_2; run_MD
5525e1e323769c196acc4f74; 1113.930854; 1116.642854; 1119.909854; 1120.167854; cycle_4; dim_2; run_MD
5525e1e923769c196acc4f82; 1119.780854; 1133.758854; 1136.795854; 1136.981854; cycle_4; dim_2; run_MD
5525e1e323769c196acc4f73; 1113.562854; 1116.289854; 1119.335854; 1119.782854; cycle_4; dim_2; run_MD
5525e1e523769c196acc4f78; 1115.646854; 1121.465854; 1124.398854; 1124.609854; cycle_4; dim_2; run_MD
5525e1e923769c196acc4f81; 1119.150854; 1132.426854; 1135.347854; 1135.594854; cycle_4; dim_2; run_MD
5525e1e823769c196acc4f7f; 1118.392854; 1130.020854; 1132.991854; 1133.202854; cycle_4; dim_2; run_MD
5525e1e823769c196acc4f7e; 1118.046854; 1128.527854; 1136.342854; 1136.598854; cycle_4; dim_2; run_MD
5525e1ed23769c196acc4f8c; 1123.793854; 1137.644854; 1140.742854; 1141.817854; cycle_4; dim_2; run_MD
5525e1e623769c196acc4f79; 1116.032854; 1123.461854; 1126.442854; 1126.663854; cycle_4; dim_2; run_MD
5525e1ed23769c196acc4f8a; 1123.102854; 1137.302854; 1140.467854; 1141.251854; cycle_4; dim_2; run_MD
5525e1ef23769c196acc4f8f; 1125.239854; 1138.447854; 1141.723854; 1142.206854; cycle_4; dim_2; run_MD
5525e1f223769c196acc4f96; 1128.141854; 1143.053854; 1145.958854; 1146.219854; cycle_4; dim_2; run_MD
5525e1ee23769c196acc4f8d; 1124.490854; 1137.815854; 1140.882854; 1141.940854; cycle_4; dim_2; run_MD
5525e1ed23769c196acc4f8b; 1123.426854; 1137.470854; 1140.605854; 1141.677854; cycle_4; dim_2; run_MD
5525e1ea23769c196acc4f84; 1120.593854; 1135.602854; 1138.730854; 1139.058854; cycle_4; dim_2; run_MD
5525e1ea23769c196acc4f85; 1120.933854; 1135.811854; 1138.869854; 1139.179854; cycle_4; dim_2; run_MD
5525e1ea23769c196acc4f83; 1120.156854; 1134.980854; 1138.098854; 1138.316854; cycle_4; dim_2; run_MD
5525e1ef23769c196acc4f90; 1125.582854; 1139.091854; 1142.240854; 1142.495854; cycle_4; dim_2; run_MD
5525e1ef23769c196acc4f91; 1125.894854; 1139.735854; 1142.695854; 1143.043854; cycle_4; dim_2; run_MD
5525e1c223769c196acc4f55; 1080.013854; 1085.840854; 1088.779854; 1089.010854; cycle_4; dim_1; run_MD
5525e1c223769c196acc4f56; 1080.356854; 1087.759854; 1090.709854; 1090.933854; cycle_4; dim_1; run_MD
5525e1c223769c196acc4f57; 1080.713854; 1089.238854; 1092.182854; 1092.406854; cycle_4; dim_1; run_MD
5525e1c623769c196acc4f60; 1084.607854; 1100.624854; 1103.667854; 1104.342854; cycle_4; dim_1; run_MD
5525e1ca23769c196acc4f6a; 1088.735854; 1103.054854; 1106.310854; 1107.150854; cycle_4; dim_1; run_MD
