64 replicas

RAW_SIMULATION_TIME: 1869.535276
Cycle; Dim; Run; Duration
cycle_4; dim_2; MD_prep; 18.74612
cycle_4; dim_2; MD_run; 93.30583
cycle_4; dim_1; MD_prep; 16.365991
cycle_4; dim_1; MD_run; 79.988595
cycle_0; dim_2; EX_prep; 14.236889
cycle_0; dim_2; Post_proc; 0.09986
cycle_0; dim_2; EX_run; 101.141652
cycle_0; dim_2; MD_prep; 15.944594
cycle_0; dim_2; MD_run; 73.982734
cycle_0; dim_1; EX_prep; 13.056815
cycle_0; dim_1; Post_proc; 0.212797
cycle_0; dim_1; EX_run; 74.309071
cycle_0; dim_1; MD_prep; 10.651479
cycle_0; dim_1; MD_run; 108.44341
cycle_1; dim_2; EX_prep; 19.409024
cycle_1; dim_2; Post_proc; 0.094747
cycle_1; dim_2; EX_run; 97.804186
cycle_1; dim_2; MD_prep; 14.740007
cycle_1; dim_2; MD_run; 91.911164
cycle_1; dim_1; EX_prep; 13.336615
cycle_1; dim_1; Post_proc; 0.227364
cycle_1; dim_1; EX_run; 86.333332
cycle_1; dim_1; MD_prep; 15.229942
cycle_1; dim_1; MD_run; 77.463689
cycle_2; dim_2; EX_prep; 18.843839
cycle_2; dim_2; Post_proc; 0.106548
cycle_2; dim_2; EX_run; 107.30416
cycle_2; dim_2; MD_prep; 13.058384
cycle_2; dim_2; MD_run; 85.713891
cycle_2; dim_1; EX_prep; 13.533596
cycle_2; dim_1; Post_proc; 0.222773
cycle_2; dim_1; EX_run; 77.201817
cycle_2; dim_1; MD_prep; 15.031001
cycle_2; dim_1; MD_run; 82.842381
cycle_3; dim_2; EX_prep; 19.298771
cycle_3; dim_2; Post_proc; 0.102685
cycle_3; dim_2; EX_run; 105.118021
cycle_3; dim_2; MD_prep; 14.737953
cycle_3; dim_2; MD_run; 85.355986
cycle_3; dim_1; EX_prep; 14.564681
cycle_3; dim_1; Post_proc; 0.218626
cycle_3; dim_1; EX_run; 80.522076
cycle_3; dim_1; MD_prep; 14.902619
cycle_3; dim_1; MD_run; 83.569318
CU_ID; New; exestart; exeEnd; Done; Cycle; Dim; Run
