# 100 replicas


RAW_SIMULATION_TIME: 3178.669599
Cycle; Dim; Run; Duration
cycle_4; dim_2; MD_prep; 28.651459
cycle_4; dim_2; MD_run; 140.656691
cycle_4; dim_1; MD_prep; 27.190355
cycle_4; dim_1; MD_run; 135.847394
cycle_0; dim_2; EX_prep; 33.972256
cycle_0; dim_2; Post_proc; 0.297158
cycle_0; dim_2; EX_run; 140.826571
cycle_0; dim_2; MD_prep; 27.562979
cycle_0; dim_2; MD_run; 123.47035
cycle_0; dim_1; EX_prep; 23.704877
cycle_0; dim_1; Post_proc; 0.945572
cycle_0; dim_1; EX_run; 112.057211
cycle_0; dim_1; MD_prep; 21.334504
cycle_0; dim_1; MD_run; 169.507073
cycle_1; dim_2; EX_prep; 33.230932
cycle_1; dim_2; Post_proc; 0.377338
cycle_1; dim_2; EX_run; 135.191107
cycle_1; dim_2; MD_prep; 24.402084
cycle_1; dim_2; MD_run; 342.303029
cycle_1; dim_1; EX_prep; 24.493153
cycle_1; dim_1; Post_proc; 0.952704
cycle_1; dim_1; EX_run; 130.111318
cycle_1; dim_1; MD_prep; 24.534654
cycle_1; dim_1; MD_run; 133.737948
cycle_2; dim_2; EX_prep; 31.630716
cycle_2; dim_2; Post_proc; 0.289093
cycle_2; dim_2; EX_run; 143.717853
cycle_2; dim_2; MD_prep; 25.689154
cycle_2; dim_2; MD_run; 147.356945
cycle_2; dim_1; EX_prep; 26.026298
cycle_2; dim_1; Post_proc; 0.760288
cycle_2; dim_1; EX_run; 131.868678
cycle_2; dim_1; MD_prep; 27.139723
cycle_2; dim_1; MD_run; 132.726635
cycle_3; dim_2; EX_prep; 30.716559
cycle_3; dim_2; Post_proc; 0.273652
cycle_3; dim_2; EX_run; 141.759184
cycle_3; dim_2; MD_prep; 28.298474
cycle_3; dim_2; MD_run; 142.076844
cycle_3; dim_1; EX_prep; 23.687381
cycle_3; dim_1; Post_proc; 0.975825
cycle_3; dim_1; EX_run; 142.93465
cycle_3; dim_1; MD_prep; 35.221641
cycle_3; dim_1; MD_run; 129.91403
CU_ID; New; exestart; exeEnd; Done; Cycle; Dim; Run
