RAW_SIMULATION_TIME: 205.270234
Cycle; Dim; Run; Duration
cycle_4; dim_2; MD_prep; 0.729936
cycle_4; dim_2; MD_run; 8.754699
cycle_4; dim_1; MD_prep; 0.695371
cycle_4; dim_1; MD_run; 8.980777
cycle_0; dim_2; EX_prep; 0.516432
cycle_0; dim_2; Post_proc; 0.001648
cycle_0; dim_2; EX_run; 17.003563
cycle_0; dim_2; MD_prep; 0.548576
cycle_0; dim_2; MD_run; 9.064564
cycle_0; dim_1; EX_prep; 0.507686
cycle_0; dim_1; Post_proc; 0.00287
cycle_0; dim_1; EX_run; 7.411878
cycle_0; dim_1; MD_prep; 0.55643
cycle_0; dim_1; MD_run; 17.419966
cycle_1; dim_2; EX_prep; 0.584818
cycle_1; dim_2; Post_proc; 0.000518
cycle_1; dim_2; EX_run; 14.917547
cycle_1; dim_2; MD_prep; 0.50531
cycle_1; dim_2; MD_run; 8.641469
cycle_1; dim_1; EX_prep; 0.495683
cycle_1; dim_1; Post_proc; 0.000585
cycle_1; dim_1; EX_run; 7.191887
cycle_1; dim_1; MD_prep; 0.550038
cycle_1; dim_1; MD_run; 9.462871
cycle_2; dim_2; EX_prep; 0.583438
cycle_2; dim_2; Post_proc; 0.00059
cycle_2; dim_2; EX_run; 16.473381
cycle_2; dim_2; MD_prep; 0.586399
cycle_2; dim_2; MD_run; 9.317187
cycle_2; dim_1; EX_prep; 0.563994
cycle_2; dim_1; Post_proc; 0.000759
cycle_2; dim_1; EX_run; 10.513338
cycle_2; dim_1; MD_prep; 0.596914
cycle_2; dim_1; MD_run; 9.033263
cycle_3; dim_2; EX_prep; 0.590953
cycle_3; dim_2; Post_proc; 0.000572
cycle_3; dim_2; EX_run; 16.488882
cycle_3; dim_2; MD_prep; 0.593043
cycle_3; dim_2; MD_run; 9.037437
cycle_3; dim_1; EX_prep; 0.585343
cycle_3; dim_1; Post_proc; 0.000748
cycle_3; dim_1; EX_run; 7.467923
cycle_3; dim_1; MD_prep; 0.653993
cycle_3; dim_1; MD_run; 7.622637
CU_ID; New; exestart; exeEnd; Done; Cycle; Dim; Run
