RAW_SIMULATION_TIME: 339.45609
Cycle; Dim; Run; Duration
cycle_0; dim_2; EX_prep; 0.975868
cycle_0; dim_2; Post_proc; 0.001575
cycle_0; dim_2; EX_run; 12.42958
cycle_0; dim_2; MD_prep; 0.998099
cycle_0; dim_2; MD_run; 14.058054
cycle_0; dim_3; EX_prep; 1.175934
cycle_0; dim_3; Post_proc; 0.000786
cycle_0; dim_3; EX_run; 17.520395
cycle_0; dim_3; MD_prep; 1.177983
cycle_0; dim_3; MD_run; 14.025628
cycle_0; dim_1; EX_prep; 0.984554
cycle_0; dim_1; Post_proc; 0.000961
cycle_0; dim_1; EX_run; 17.117813
cycle_0; dim_1; MD_prep; 1.044061
cycle_0; dim_1; MD_run; 14.820569
cycle_1; dim_2; EX_prep; 1.165969
cycle_1; dim_2; Post_proc; 0.000838
cycle_1; dim_2; EX_run; 13.391602
cycle_1; dim_2; MD_prep; 1.076609
cycle_1; dim_2; MD_run; 13.611412
cycle_1; dim_3; EX_prep; 1.124378
cycle_1; dim_3; Post_proc; 0.000792
cycle_1; dim_3; EX_run; 17.707641
cycle_1; dim_3; MD_prep; 1.172447
cycle_1; dim_3; MD_run; 14.257543
cycle_1; dim_1; EX_prep; 1.225272
cycle_1; dim_1; Post_proc; 0.0008
cycle_1; dim_1; EX_run; 16.864323
cycle_1; dim_1; MD_prep; 1.678174
cycle_1; dim_1; MD_run; 13.125237
cycle_2; dim_2; EX_prep; 1.174457
cycle_2; dim_2; Post_proc; 0.001077
cycle_2; dim_2; EX_run; 13.232218
cycle_2; dim_2; MD_prep; 1.851344
cycle_2; dim_2; MD_run; 12.326783
cycle_2; dim_3; EX_prep; 2.270753
cycle_2; dim_3; Post_proc; 0.001164
cycle_2; dim_3; EX_run; 17.247643
cycle_2; dim_3; MD_prep; 2.045644
cycle_2; dim_3; MD_run; 13.462504
cycle_2; dim_1; EX_prep; 2.266151
cycle_2; dim_1; Post_proc; 0.000916
cycle_2; dim_1; EX_run; 17.978013
cycle_2; dim_1; MD_prep; 1.129562
cycle_2; dim_1; MD_run; 14.255115
cycle_3; dim_2; MD_prep; 2.246253
cycle_3; dim_2; MD_run; 13.349049
cycle_3; dim_3; MD_prep; 2.180142
cycle_3; dim_3; MD_run; 13.815477
cycle_3; dim_1; MD_prep; 2.218202
cycle_3; dim_1; MD_run; 13.579091
CU_ID; New; exestart; exeEnd; Done; Cycle; Dim; Run
