Total simulaiton time: 139.608538
Cycle; Run; Duration
cycle_1; run_Post_processing; 0.000661
cycle_1; run_MD_prep; 0.27856
cycle_1; run_MD; 10.044396
cycle_1; run_EX_prep; 0.234419
cycle_1; run_EX; 7.243912
cycle_2; run_Post_processing; 0.000649
cycle_2; run_MD_prep; 0.232612
cycle_2; run_MD; 20.194378
cycle_2; run_EX_prep; 0.241671
cycle_2; run_EX; 9.804779
cycle_3; run_Post_processing; 0.00065
cycle_3; run_MD_prep; 0.232738
cycle_3; run_MD; 72.669981
cycle_3; run_EX_prep; 0.249578
cycle_3; run_EX; 18.176174
CU_ID; New; exestart; exeEnd; Done; Cycle; Run
unit.000003; 0.229284; 7.425284; 9.060284; 9.073284; cycle_1; run_MD
unit.000002; 0.155284; 6.316284; 7.957284; 7.969284; cycle_1; run_MD
unit.000001; 0.085284; 5.478284; 7.154284; 7.167284; cycle_1; run_MD
unit.000000; 0.016284; 4.107284; 5.950284; 5.964284; cycle_1; run_MD
unit.000007; 10.511284; 10.929284; 11.671284; 17.280284; cycle_1; run_EX
unit.000006; 10.452284; 10.855284; 11.370284; 16.248284; cycle_1; run_EX
unit.000005; 10.393284; 10.791284; 11.269284; 15.223284; cycle_1; run_EX
unit.000004; 10.334284; 10.739284; 11.267284; 13.994284; cycle_1; run_EX
unit.000010; 17.930284; 22.168284; 31.622284; 32.604284; cycle_2; run_MD
unit.000011; 17.983284; 23.902284; 37.638284; 37.855284; cycle_2; run_MD
unit.000009; 17.870284; 21.060284; 22.699284; 22.708284; cycle_2; run_MD
unit.000008; 17.811284; 19.940284; 21.595284; 21.604284; cycle_2; run_MD
unit.000012; 38.238284; 41.920284; 42.954284; 46.296284; cycle_2; run_EX
unit.000013; 38.302284; 39.916284; 41.148284; 44.027284; cycle_2; run_EX
unit.000014; 38.365284; 41.146284; 42.652284; 45.254284; cycle_2; run_EX
unit.000015; 38.425284; 43.403284; 44.358284; 47.340284; cycle_2; run_EX
unit.000018; 48.406284; 62.673284; 113.633284; 118.606284; cycle_3; run_MD
unit.000019; 48.461284; 67.920284; 119.147284; 121.606284; cycle_3; run_MD
unit.000016; 48.285284; 55.419284; 108.117284; 111.356284; cycle_3; run_MD
unit.000017; 48.347284; 58.154284; 112.630284; 114.606284; cycle_3; run_MD
unit.000021; 121.273284; 130.672284; 131.879284; 134.460284; cycle_3; run_EX
unit.000020; 121.195284; 126.661284; 129.873284; 132.336284; cycle_3; run_EX
unit.000023; 121.380284; 134.668284; 136.190284; 138.594284; cycle_3; run_EX
unit.000022; 121.325284; 132.910284; 134.185284; 136.525284; cycle_3; run_EX
